Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,228,230.800003,227,229.399994,227.578537,30348053
2021-12-09,229.899994,230.899994,226.800003,227.699997,225.892029,23516676
2021-12-10,226.399994,229.899994,225.399994,228,226.189651,26363105
2021-12-13,230.100006,236.5,229,230.25,228.421783,40382575
2021-12-14,230,230,225.5,229.050003,227.231323,24698002
2021-12-15,229,232.399994,227.050003,227.850006,226.040848,20127541
2021-12-16,229.800003,230.050003,219.149994,221.899994,220.138077,40645402
2021-12-17,222.699997,222.699997,214,215.800003,214.086533,38813929
2021-12-20,210.5,211.949997,202.800003,209.100006,207.439728,47944121
2021-12-21,213,216.25,209.850006,211.899994,210.217484,33006180
2021-12-22,214.5,218.699997,213.300003,218,216.269058,21655596
2021-12-23,220,221.25,217.449997,218.050003,216.318665,16940883
2021-12-24,219.050003,219.449997,214.149994,216.800003,215.078583,18770416
2021-12-27,216.600006,217.75,213.800003,217.350006,215.624222,15870056
2021-12-28,218.699997,222.199997,218.5,221.600006,219.840469,19058757
2021-12-29,221,223.25,218.850006,219.449997,217.707535,14504319
2021-12-30,218.699997,221,217.050003,218.350006,216.616287,14315067
2021-12-31,218.899994,222,218.350006,220.949997,219.195633,12737974
2022-01-03,221.199997,223.899994,216,223.399994,221.626175,19062825
2022-01-04,224.300003,226.25,221,228.300003,224.503159,32469988
